,Time,User,Tweet
0,2022-06-23 13:13:36+00:00,aajtak,"बटलर ने पूर्व भारतीय कप्तान महेंद्र सिंह धोनी का 17 साल पुराना रिकॉर्ड तोड़ा 

#Cricket #JosButtler #Dhoni 
https://t.co/JhQvLxy1zA"
1,2022-06-23 13:11:59+00:00,aajtak,"बीच चौराहे युवक द्वारा खुद का गला काटते देख पुलिस के हाथ-पांव फूल गए 

#UttarPradesh #Hamirpur (नाह‍िद अंसारी)
https://t.co/bpOTUDhL7V"
2,2022-06-23 13:11:52+00:00,aajtak,"देश में फिर से बेलगाम हो रहा कोरोना, 24 घंटे में आए 13313 केस
#AT2Video (Sayeed Ansari, @milan_reports) https://t.co/IQgJtOFK8I"
3,2022-06-23 13:11:11+00:00,aajtak,"महाराष्ट्र में सियासी उठापठक जारी...@AcharyaPramodk ने इस मामले पर रखी अपनी बात कहा, 'इस पूरे षड्यंत्र में भाजपा मु… https://t.co/hU2S7zwFik"
4,2022-06-23 13:09:21+00:00,aajtak,"द्रौपदी मुर्मू की बेटी को भरोसा- विपक्ष भी करेगा उनका समर्थन | @Suryavachan

#PresidentialElection #DraupadiMurmu 
https://t.co/4mD3qdrQKE"
5,2022-06-23 13:02:47+00:00,aajtak,"आगरा में गेम खेलने के चक्कर में एक बच्चे ने अपने पिता को 39 लाख रुपये का चूना लगा दिया.

#AajtakDigital #MobileGame… https://t.co/23ENR3BXwl"
6,2022-06-23 13:01:50+00:00,aajtak,पाकिस्तान की इंटरनेशनल बेज्जती की लिस्ट में एक और वाक्या जुड़ गया है. पैसे नहीं चुकाने के कारण रूस ने पाकिस्तानी… https://t.co/Mut2LTMJsN
7,2022-06-23 13:01:02+00:00,aajtak,यूपी पुलिस द्वारा लखनऊ में पहली 24X7 ट्रांसजेंडर पुलिस हेल्प डेस्क की शुरुआत की गई। #ReporterDiary (@ashishaajtak) https://t.co/mVOUrW3OMV
8,2022-06-23 13:00:21+00:00,aajtak,"हम एकनाथ शिंदे के साथ है और बीजेपी को हमारा समर्थन है: विनोद अग्रवाल , निर्दलीय विधायक 
#हल्ला_बोल… https://t.co/lea5nGZ4fe"
9,2022-06-23 12:52:38+00:00,aajtak,"क्या उद्धव ठाकरे को इस्तीफा दे देना चाहिए? इस पर @DrAMSinghvi ने रखी अपनी बात 
#हल्ला_बोल  @anjanaomkashyap के साथ… https://t.co/ifv5SIztUu"
10,2022-06-23 12:52:27+00:00,aajtak,"संक्रमित हो चुके बच्चों का पीछा नहीं छोड़ रहा वायरस, 46% लॉन्ग कोविड के शिकार
#ATDigital #Coronavirus #Covid19… https://t.co/dvcgkSxMcV"
11,2022-06-23 12:51:32+00:00,aajtak,"कांग्रेस नेता @DrAMSinghvi ने इस पूरे खेल का ज़िम्मेदार बीजेपी को ठहराया, सुनिए 
#हल्ला_बोल  @anjanaomkashyap के सा… https://t.co/D5anyD2z1X"
12,2022-06-23 12:49:55+00:00,aajtak,उद्धव ठाकरे के घर मातोश्री पर क्यों खड़े हैं कुछ शिवसैनिक? ज्यादा जानकारी दे रही हैं आजतक संवाददाता विद्या।… https://t.co/QjKlr2rsEB
13,2022-06-23 12:47:40+00:00,aajtak,"सत्ता बचाने के लिए शिवसेना के पास हैं ये 2 विकल्प, अब क्या करेंगे उद्धव? 
#ATDigital #UddhavThackeray #EknathShinde… https://t.co/4BMX6cfPiw"
14,2022-06-23 12:45:51+00:00,aajtak,"मुश्किल घड़ी में भारत ने दिया रूस का साथ, अब पुतिन ने दिया ये बड़ा ऑफर

#India #Russia 
https://t.co/Ksgc19JMVr"
15,2022-06-23 12:44:29+00:00,aajtak,"क्या होगा उद्धव ठाकरे का आखिरी दांव ? 
देखिए #हल्ला_बोल  @anjanaomkashyap के साथ 
#Mumbai #ShivSena #MVACollapses https://t.co/plAlxsLVZH"
16,2022-06-23 12:44:29+00:00,aajtak,"RT @GoodNewsToday: असम में आसमानी कहर के बीच मुस्कुराती जिंदगी 
देखिए GNT स्पेशल में 
#GNTLiveStream #GNTSpecial @SHAGUFTADEV  https://t.co…"
17,2022-06-23 12:40:58+00:00,aajtak,रांची के दो मूक बधिर युवा बने Entrepreneur और शारीरिक चुनौतियों को छोड़ा पीछे। #ReporterDiary (@satyajeetAT) https://t.co/Jnl49jNbjS
18,2022-06-23 12:39:33+00:00,aajtak,महाराष्ट्र में सीएम बदलेगा या सरकार? #ExtensionStudio #ATLive | @chitraaum #AnchorChat: #SocialMediaSpecial https://t.co/iN41WDKpPj
19,2022-06-23 12:34:47+00:00,aajtak,"एयरफोर्स को मिला 100वां आकाश मिसाइल लॉन्चर सिस्टम

https://t.co/7sST5Lgpfz"
